Timestamp,Target IP,Hop Number,Hop IP,Latency,City,Region,Country
2024-11-07 23:10:17,208.117.224.0,15,172.253.51.117,133.2,Denver,Colorado,US
2024-11-07 23:10:17,208.117.224.0,16,192.178.108.203,131.4,Denver,Colorado,US
2024-11-07 23:10:17,208.117.224.0,17,74.125.242.224,125.5,Denver,Colorado,US
2024-11-07 23:10:17,172.110.32.0,4,172.21.18.154,17.5,,,
2024-11-07 23:10:17,172.110.32.0,7,142.250.234.40,18.6,Paris,Île-de-France,FR
2024-11-07 23:10:17,172.110.32.0,8,192.178.104.28,21.4,Paris,Île-de-France,FR
2024-11-07 23:10:17,172.110.32.0,10,108.170.235.172,26.8,Mountain View,California,US
2024-11-07 23:10:17,172.110.32.0,11,172.253.72.97,96.7,London,England,GB
2024-11-07 23:10:17,172.110.32.0,12,108.170.227.149,98.0,New York City,New York,US
2024-11-07 23:10:17,172.110.32.0,13,192.178.106.163,101.8,New York City,New York,US
2024-11-07 23:10:17,172.110.32.0,14,192.178.106.112,97.7,New York City,New York,US
2024-11-07 23:10:17,104.237.190.0,1,10.192.146.1,2.2,,,
2024-11-07 23:10:17,104.237.190.0,2,172.22.1.1,3.1,,,
2024-11-07 23:10:17,104.237.190.0,4,172.21.18.154,29.0,,,
2024-11-07 23:10:17,104.237.190.0,12,185.25.28.214,98.6,Frankfurt am Main,Hesse,DE
2024-11-07 23:10:17,104.237.190.0,13,89.207.228.82,95.5,Frankfurt am Main,Hesse,DE
2024-11-07 23:10:17,104.237.190.0,14,89.207.225.16,98.0,Zürich,Zurich,CH
2024-11-07 23:10:17,104.237.189.0,4,172.21.18.154,17.7,,,
2024-11-07 23:10:17,104.237.188.0,1,10.192.146.1,1.7,,,
2024-11-07 23:10:17,104.237.188.0,2,172.22.1.1,2.0,,,
2024-11-07 23:10:17,104.237.188.0,4,172.21.18.154,17.9,,,
2024-11-07 23:10:17,104.237.172.0,4,172.21.18.154,19.1,,,
2024-11-07 23:10:17,104.237.172.0,7,142.251.253.34,19.0,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.172.0,8,108.170.255.168,17.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.172.0,9,209.85.251.179,18.9,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.172.0,10,192.178.81.42,96.7,Paris,Île-de-France,FR
2024-11-07 23:10:17,104.237.172.0,11,192.178.75.108,210.9,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.172.0,12,142.250.228.29,208.7,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.172.0,13,192.178.84.59,210.0,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.172.0,14,142.251.64.26,208.8,Osasco,São Paulo,BR
2024-11-07 23:10:17,104.237.171.0,1,10.192.146.1,2.0,,,
2024-11-07 23:10:17,104.237.171.0,2,172.22.1.1,3.2,,,
2024-11-07 23:10:17,104.237.171.0,4,172.21.18.154,18.7,,,
